date_time_IST,x_axis,y_axis,z_axis,x_gyro,y_gyro,z_gyro,acc,gyro
2022-09-18 21:43:54,0.89109,-0.07613,1.84122,-0.011,0,0.00855,2.046931424,2.04694928
2022-09-18 21:43:55,0.8906,-0.0771,1.84122,-0.00977,0,0.00855,2.046754469,2.046772328
2022-09-18 21:43:57,0.88377,-0.09321,1.84074,-0.00977,0,0.00733,2.044030642,2.044043785
2022-09-18 21:43:59,0.8867,-0.09321,1.84074,-0.00977,0,0.00733,2.045299181,2.045312316
2022-09-18 21:44:01,0.8823,-0.08686,1.84318,-0.00977,0,0.00733,2.04531427,2.045327404
2022-09-18 21:44:02,0.89158,-0.08052,1.84513,-0.00977,0,0.00855,2.050829852,2.050847675
2022-09-18 21:44:04,0.88718,-0.08686,1.85196,-0.00855,0,0.00855,2.055331811,2.055349595
2022-09-18 21:44:08,0.90182,-0.08101,1.85294,-0.00977,0,0.00733,2.062335709,2.062348735
2022-09-18 21:41:59,0.89206,-0.08052,1.84025,-0.011,0.00122,0.00611,2.046649598,2.046659082
2022-09-18 21:42:00,0.88572,-0.08589,1.85098,-0.00855,0.00122,0.00733,2.053777975,2.053791418
2022-09-18 21:42:01,0.89158,-0.07418,1.84171,-0.011,0.00122,0.00611,2.04751393,2.04752341
2022-09-18 21:42:03,0.89255,-0.07515,1.84269,-0.00855,0,0.00733,2.048853206,2.048866318
2022-09-18 21:42:04,0.8945,-0.07759,1.83781,-0.00855,0.00244,0.00611,2.04540853,2.045419111
2022-09-18 21:42:17,0.8906,-0.08345,1.84464,-0.00977,-0.00122,0.00733,2.05008024,2.050093707
2022-09-18 21:42:19,0.89499,-0.08101,1.84366,-0.00855,0.00122,0.00733,2.051012412,2.051025873
2022-09-18 21:42:23,0.90036,-0.07466,1.8461,-0.011,0.00244,0.00733,2.055312009,2.055326528
2022-09-18 21:42:24,0.89792,-0.08198,1.84757,-0.00855,0,0.00855,2.05584434,2.055862119
2022-09-18 21:42:25,0.89353,-0.08491,1.84415,-0.00977,0,0.00733,2.050974108,2.050987206
2022-09-18 21:42:27,0.89353,-0.08052,1.85391,-0.00855,0,0.00733,2.05957802,2.059591063
2022-09-18 21:42:28,0.88816,-0.08394,1.84269,-0.00855,0.00122,0.00733,2.047286142,2.047299627
2022-09-18 21:42:30,0.89694,-0.08052,1.84269,-0.00977,-0.00244,0.00733,2.050973249,2.050987799
2022-09-18 21:42:31,0.88865,-0.08198,1.84513,-0.00855,0.00122,0.00733,2.049615637,2.049629107
2022-09-18 21:42:34,0.90329,-0.08784,1.84318,-0.00977,0.00244,0.00733,2.054497798,2.054512323
2022-09-18 21:42:36,0.89402,-0.07662,1.84074,-0.00855,0.00244,0.00733,2.047795432,2.047810005
2022-09-18 21:42:38,0.89499,-0.08296,1.84415,-0.00855,0.00244,0.00489,2.051530815,2.051538094
2022-09-18 21:42:39,0.89548,-0.08345,1.84318,-0.00855,0.00244,0.00733,2.050892695,2.050907245
2022-09-18 21:42:44,0.88718,-0.0815,1.85586,-0.01222,0.00122,0.00855,2.058627441,2.058645558
2022-09-18 21:42:50,0.88914,-0.08686,1.83878,-0.00855,0.00122,0.00611,2.044315653,2.044325147
